,backoffs,run1,run2,run3,run4,run5,max_shifts1,max_shifts2,max_shifts3,max_shifts4,max_shifts5,number_sensors_shifted1,number_sensors_shifted2,number_sensors_shifted3,number_sensors_shifted4,number_sensors_shifted5
0,0.03712,330.0,272.0,307.0,326.0,300.0,7.0,6.0,7.0,7.0,8.0,200.0,176.0,187.0,198.0,176.0
1,0.06727886868686869,299.0,297.0,268.0,314.0,316.0,8.0,7.0,8.0,7.0,10.0,192.0,183.0,168.0,190.0,190.0
2,0.09743773737373737,286.0,323.0,275.0,332.0,297.0,6.0,9.0,6.0,8.0,7.0,181.0,185.0,184.0,191.0,201.0
3,0.12759660606060608,301.0,254.0,290.0,298.0,314.0,7.0,6.0,7.0,10.0,7.0,206.0,163.0,188.0,175.0,191.0
4,0.15775547474747476,269.0,257.0,282.0,339.0,266.0,6.0,7.0,13.0,10.0,5.0,166.0,176.0,157.0,204.0,181.0
5,0.18791434343434343,266.0,288.0,310.0,302.0,318.0,8.0,8.0,6.0,6.0,7.0,175.0,176.0,196.0,198.0,176.0
6,0.2180732121212121,283.0,289.0,272.0,320.0,325.0,7.0,10.0,6.0,8.0,7.0,179.0,182.0,163.0,192.0,182.0
7,0.2482320808080808,318.0,326.0,351.0,329.0,310.0,7.0,11.0,8.0,9.0,7.0,188.0,196.0,199.0,197.0,188.0
8,0.27839094949494947,267.0,283.0,282.0,281.0,319.0,6.0,7.0,8.0,7.0,15.0,168.0,180.0,177.0,178.0,181.0
9,0.30854981818181815,287.0,349.0,277.0,341.0,265.0,7.0,10.0,8.0,11.0,7.0,181.0,202.0,175.0,198.0,170.0
10,0.3387086868686868,292.0,277.0,293.0,280.0,323.0,8.0,10.0,6.0,7.0,8.0,167.0,173.0,180.0,178.0,207.0
11,0.3688675555555555,276.0,297.0,267.0,314.0,258.0,6.0,7.0,10.0,6.0,7.0,173.0,183.0,168.0,197.0,171.0
12,0.39902642424242424,327.0,242.0,338.0,317.0,271.0,7.0,12.0,8.0,6.0,7.0,189.0,153.0,199.0,197.0,160.0
13,0.4291852929292929,335.0,285.0,290.0,309.0,227.0,14.0,7.0,7.0,7.0,5.0,197.0,181.0,185.0,185.0,158.0
14,0.4593441616161616,327.0,339.0,262.0,319.0,307.0,10.0,11.0,9.0,8.0,8.0,200.0,198.0,157.0,190.0,193.0
15,0.4895030303030303,290.0,309.0,290.0,292.0,378.0,9.0,7.0,7.0,5.0,8.0,172.0,187.0,180.0,187.0,231.0
16,0.519661898989899,276.0,324.0,304.0,260.0,327.0,6.0,7.0,8.0,8.0,12.0,180.0,198.0,190.0,158.0,179.0
17,0.5498207676767677,279.0,390.0,308.0,299.0,240.0,10.0,8.0,8.0,9.0,5.0,168.0,208.0,187.0,187.0,157.0
18,0.5799796363636364,254.0,327.0,291.0,272.0,276.0,7.0,7.0,7.0,7.0,6.0,166.0,200.0,180.0,182.0,174.0
19,0.610138505050505,291.0,270.0,338.0,287.0,288.0,8.0,6.0,6.0,8.0,8.0,174.0,166.0,200.0,179.0,180.0
20,0.6402973737373737,337.0,292.0,260.0,330.0,294.0,6.0,7.0,7.0,10.0,6.0,205.0,191.0,176.0,205.0,192.0
21,0.6704562424242424,279.0,292.0,319.0,312.0,284.0,7.0,6.0,8.0,7.0,11.0,179.0,191.0,195.0,206.0,167.0
22,0.7006151111111111,329.0,291.0,329.0,274.0,274.0,12.0,6.0,8.0,5.0,6.0,192.0,193.0,204.0,184.0,177.0
23,0.7307739797979798,327.0,365.0,338.0,288.0,271.0,13.0,16.0,8.0,7.0,6.0,191.0,189.0,205.0,177.0,173.0
24,0.7609328484848485,325.0,243.0,289.0,288.0,298.0,9.0,7.0,7.0,8.0,6.0,182.0,169.0,190.0,182.0,182.0
25,0.7910917171717172,246.0,266.0,270.0,248.0,320.0,7.0,8.0,6.0,7.0,7.0,156.0,183.0,179.0,175.0,191.0
26,0.8212505858585859,309.0,228.0,282.0,268.0,375.0,8.0,7.0,8.0,7.0,9.0,176.0,158.0,181.0,161.0,218.0
27,0.8514094545454546,274.0,272.0,302.0,307.0,268.0,7.0,7.0,6.0,8.0,6.0,180.0,167.0,197.0,189.0,188.0
28,0.8815683232323233,323.0,309.0,233.0,276.0,299.0,6.0,8.0,6.0,7.0,7.0,200.0,188.0,158.0,178.0,180.0
29,0.9117271919191919,306.0,236.0,255.0,307.0,286.0,8.0,6.0,9.0,9.0,7.0,190.0,162.0,167.0,195.0,170.0
30,0.9418860606060606,261.0,254.0,275.0,270.0,266.0,8.0,8.0,7.0,6.0,7.0,178.0,172.0,175.0,168.0,166.0
31,0.9720449292929293,264.0,331.0,291.0,331.0,257.0,6.0,8.0,6.0,7.0,6.0,173.0,213.0,182.0,190.0,187.0
32,1.002203797979798,266.0,305.0,309.0,328.0,289.0,7.0,6.0,6.0,6.0,7.0,164.0,185.0,201.0,213.0,189.0
33,1.0323626666666665,312.0,307.0,271.0,292.0,267.0,10.0,6.0,7.0,6.0,6.0,191.0,190.0,185.0,188.0,178.0
34,1.0625215353535353,301.0,277.0,268.0,347.0,331.0,7.0,6.0,8.0,8.0,8.0,192.0,185.0,174.0,193.0,194.0
35,1.0926804040404041,307.0,276.0,277.0,283.0,327.0,8.0,7.0,11.0,8.0,6.0,192.0,172.0,179.0,175.0,185.0
