,X,collisions
28,280,"[0.10346510492923378, 0.09989416266384434, 0.08568638619903979, 0.0891476023772694, 0.10321530321530321, 0.10016273393002441, 0.1029064560775055, 0.08578172051762024, 0.11370665798469803, 0.11777633078300505, 0.11403009353395689, 0.07499593297543518, 0.1070498209052426, 0.07848718991459944, 0.08540258894406903, 0.11064106736088512, 0.09257449926722032, 0.07463172458696182, 0.06067507116714112, 0.096435546875]"
29,290,"[0.1068090787716956, 0.11353643216080402, 0.095881798176674, 0.09637134778510839, 0.0996307063722794, 0.12390911235159997, 0.10303363722099969, 0.11360779384035198, 0.10644983895042816, 0.11049115913555992, 0.10675261378822419, 0.08623535885543589, 0.11706972361809045, 0.09302508453251553, 0.0857950974230044, 0.07905479667137698, 0.10670228647756738, 0.10328306628966384, 0.11352030795820567, 0.08257385292269014]"
30,300,"[0.08290273556231004, 0.13316105495173672, 0.09319650323071076, 0.09973434535104364, 0.10642661804922517, 0.10634257500949487, 0.07990884922142043, 0.10999772261443863, 0.11989369779802582, 0.08641506568456223, 0.08656036446469248, 0.13277093783249733, 0.09642857142857143, 0.10335662211421628, 0.10281155015197568, 0.08298534659479159, 0.07642054086903677, 0.09962791404054977, 0.13300904461503382, 0.09271221217417737]"
31,310,"[0.10921652212259297, 0.09341466999853006, 0.10002206369051997, 0.10000734807847748, 0.11895309513306866, 0.11593030949055355, 0.11598146649996323, 0.12869539638182084, 0.10004410467509556, 0.08371922087467842, 0.08379272326350606, 0.1285273368606702, 0.10968263297090802, 0.09986762759229298, 0.10924863990589619, 0.1320976757869962, 0.08690222581356057, 0.0900463473846833, 0.11610817166372722, 0.08693733451015004]"
32,320,"[0.1121788027617624, 0.11573249768535004, 0.09978632478632479, 0.10589239965841162, 0.10266267976648157, 0.09957974214687655, 0.12503560239248077, 0.11229794203517766, 0.09985744832501782, 0.1278125890059812, 0.09984332716137302, 0.1215985183074512, 0.10295478818084727, 0.09033314350797267, 0.13393620051267446, 0.1278050865569566, 0.10622241207461199, 0.10614366056809284, 0.10279043280182232, 0.1368593627485922]"
33,330,"[0.12714966503211547, 0.10867012089810017, 0.12391274333839569, 0.1453038674033149, 0.12702908061062373, 0.13280872506385036, 0.09664735099337748, 0.10902437340330041, 0.09664939550949914, 0.09093421779988944, 0.13002967768652082, 0.10592137082843917, 0.09690564995165078, 0.12399033482913359, 0.10576126001657916, 0.1089163616271842, 0.11813850721535593, 0.11791116944118256, 0.09370899799737588, 0.11164043082021541]"
34,340,"[0.1115428418302405, 0.09686495176848875, 0.11432017690812839, 0.10857181154078145, 0.12347499664834428, 0.09992632777442904, 0.09672878401930554, 0.11730382293762576, 0.10559839088166276, 0.0997856951513528, 0.12660009382749146, 0.0998525666800697, 0.09113449038397105, 0.13195655089177954, 0.11765100221224106, 0.1054289544235925, 0.13494299128101944, 0.12933690555927663, 0.12943856358032962, 0.10854844116661079]"
35,350,"[0.11440291704649043, 0.11422989254314556, 0.13692297675629925, 0.1028110359187923, 0.1169152608610695, 0.14538591695952102, 0.11388364062805395, 0.1482879833355032, 0.134375, 0.14241083051288728, 0.13700592563651756, 0.1397604478583518, 0.13678385416666666, 0.12514650345097017, 0.1143099068585944, 0.15117792528960042, 0.15085617553226122, 0.11118335500650195, 0.09969395064140131, 0.13415744957709824]"
36,360,"[0.13597518516173956, 0.0888776349939862, 0.09683957185382228, 0.0941808981657179, 0.14678144186340908, 0.12746153359083137, 0.13029996203012276, 0.15525316455696203, 0.09702343255224825, 0.12779148478522173, 0.13053657301948873, 0.11391684070628441, 0.11613189038668438, 0.09991768505033875, 0.141473604253703, 0.1274131274131274, 0.0968803391761058, 0.14123828817422132, 0.14976243268926195, 0.11936708860759494]"
37,370,"[0.10505884527697332, 0.1212718757702736, 0.12390688508436999, 0.14013798201305902, 0.13210218528778087, 0.12112068965517242, 0.12147692307692308, 0.13492699155936172, 0.14588336720241393, 0.12679263864097987, 0.11330049261083744, 0.12708577058062928, 0.15899014778325124, 0.10800492610837438, 0.12674755188766398, 0.11072792215790123, 0.11571622120950856, 0.11351584659020841, 0.14013798201305902, 0.137807881773399]"
38,380,"[0.11811589860370349, 0.13880391098314437, 0.16012954300107954, 0.12355443705434717, 0.11015170594231577, 0.10739341608202914, 0.12350860363331136, 0.16016562650024005, 0.125981891227439, 0.10482758620689656, 0.14177761784814683, 0.15756667665567875, 0.1496521113243762, 0.13400083937885965, 0.11027869343721906, 0.1552158273381295, 0.0998981242883682, 0.1314511778457112, 0.1312743628185907, 0.11299706111677563]"
39,390,"[0.11761267317472379, 0.14077017472097236, 0.13285038266051294, 0.14037136517575616, 0.1359251680795089, 0.14343304510399627, 0.13559322033898305, 0.1483840804161066, 0.14058758250102213, 0.13081819774572212, 0.11752673718660511, 0.16377345256882342, 0.11785672548790464, 0.12780373831775702, 0.1376993632061693, 0.1070697620022221, 0.11265630477971252, 0.12044670525638777, 0.10242477359041777, 0.14345794392523364]"
40,400,"[0.11495497549298986, 0.17441595441595442, 0.14990890457754497, 0.1420593766026554, 0.1373319662793347, 0.162311414745232, 0.10502049180327869, 0.1197540003416662, 0.12902307035032753, 0.11212345538408974, 0.13715099715099716, 0.14245841877420826, 0.14475333257377235, 0.1269868398564348, 0.1396011396011396, 0.11976525554099482, 0.14221463136920012, 0.1398553613119982, 0.15726817042606517, 0.12478622734009805]"
41,410,"[0.12657735282672744, 0.15845050853109544, 0.12622385402759234, 0.17242146232971922, 0.14565374562037706, 0.15091192170818504, 0.1020181242008117, 0.11216719470846534, 0.13398166157265906, 0.1436593095013065, 0.11196932651700378, 0.15555679101573358, 0.13646470261256252, 0.12165166166499944, 0.13624235686492495, 0.12897310513447433, 0.15823101283404634, 0.13152772370835883, 0.11432698183434253, 0.1388086241386975]"
42,420,"[0.17845136102375014, 0.14251613953236045, 0.15664350846721667, 0.14751072262337803, 0.11862293304418542, 0.1616090331686662, 0.1305692733488902, 0.14277961686655452, 0.14991047691389506, 0.15407576250949745, 0.12341995334454511, 0.15929923523349787, 0.14246158857701285, 0.11876355748373102, 0.1616594360086768, 0.16425199413967118, 0.14470186099506266, 0.1165654154914298, 0.12831642341706906, 0.16163150187123718]"
43,430,"[0.14637896299438025, 0.1369826718244926, 0.14865652657798506, 0.12268702613859286, 0.1206064782908339, 0.12746449014203942, 0.14384904860338157, 0.14366689622291678, 0.1439016636643001, 0.157797095303721, 0.14587861118473364, 0.15310827282844877, 0.14826598790964046, 0.14384178993690686, 0.1626132570338579, 0.12990040262767535, 0.15326340326340326, 0.16972331177780134, 0.12971310388715065, 0.14862715997031697]"
44,440,"[0.1247669359850839, 0.14946877429385852, 0.133633867039743, 0.1201678930459115, 0.14732697886448404, 0.15227637644377687, 0.14715944432925565, 0.1632230335042204, 0.138270326255826, 0.13378238341968912, 0.15420488108192135, 0.14080861417404358, 0.14039995855351778, 0.16335197845452662, 0.14082901554404145, 0.16545049940485432, 0.15659468696597795, 0.14520973588814087, 0.1541370913424175, 0.13841135045567524]"
45,450,"[0.14637974683544303, 0.15054689082438727, 0.15996352953094925, 0.1596881170573642, 0.15502658900987593, 0.1219042795644467, 0.15271235374563136, 0.15964556962025317, 0.16189126252910802, 0.126506634255039, 0.13749620176238225, 0.13988456865127583, 0.15754568926239051, 0.1488887763883967, 0.1618869071747061, 0.15309429757925655, 0.14216306493243586, 0.1332523288780883, 0.18208516886930984, 0.17301458670988654]"
46,460,"[0.1540900758063717, 0.1408694791047732, 0.14100277447483156, 0.12811370276828604, 0.15592010705258463, 0.16299232103046818, 0.13679362092021197, 0.12793060718711277, 0.13881735340729, 0.17141441664602428, 0.155923301788634, 0.14559595759437233, 0.1845102505694761, 0.15194451325241515, 0.17819820712198503, 0.16486727416798733, 0.16919266963843488, 0.15401387512388504, 0.1497696993710069, 0.1473663346712254]"
47,470,"[0.1296466824989095, 0.15712622489570194, 0.16763594068043036, 0.13375672662044893, 0.15287334043996512, 0.13584795888684184, 0.15918565196316045, 0.15948630966803973, 0.1504995634882142, 0.14012893218942368, 0.15099825547586743, 0.15492752920645694, 0.15308546221338892, 0.17000533540282292, 0.1506716454100189, 0.16146388754241395, 0.1656572508357963, 0.12526652452025586, 0.14005914577980316, 0.16127781278782297]"
48,480,"[0.1476554705686731, 0.16823317193582074, 0.17050953600910904, 0.1664293173834615, 0.1516776612405676, 0.1496081690809784, 0.14748338081671414, 0.1392687559354226, 0.16232131832644725, 0.19327731092436976, 0.1601556937390231, 0.15394836750189825, 0.12673314339981007, 0.15792222591519872, 0.17265606456206978, 0.14118875807064185, 0.1452938661091842, 0.145679012345679, 0.16008928147409413, 0.16438031043812598]"
49,490,"[0.148602780490073, 0.1586024006699544, 0.14073694984646878, 0.14043820067916454, 0.16282856478250757, 0.14663070269264752, 0.17524526898219184, 0.1039244861899005, 0.15040953090096798, 0.16093931643803766, 0.15487589476619876, 0.16492974783660558, 0.15898628225993955, 0.16889033517735114, 0.16095428544854207, 0.16714710805281754, 0.16914705608780578, 0.15108650132613652, 0.14032558139534884, 0.16511671161536315]"
50,500,"[0.15398286547575646, 0.17563933081095864, 0.20557681793329688, 0.1496012759170654, 0.16932543299908842, 0.17166423623769594, 0.15397592558818166, 0.19176647388314585, 0.1756313246421734, 0.17372881355932204, 0.16345145254708807, 0.1597776056145468, 0.17141424729957613, 0.1676458532586419, 0.16165207877461707, 0.13946384608370566, 0.1674800456100342, 0.18343815513626835, 0.1797757929274517, 0.16574761883060657]"
51,510,"[0.14857858036831753, 0.16241226697661942, 0.1702488940524599, 0.17421805183199285, 0.1311497385942178, 0.1837236324633536, 0.1585131573068847, 0.19185734715766894, 0.162453099874933, 0.15448171140190256, 0.16229500871352606, 0.15863794798462777, 0.15836052384570687, 0.1567357512953368, 0.1921032649962035, 0.18383766146694677, 0.16622750212138807, 0.17437134307025773, 0.16828233191869554, 0.1567330890894469]"
52,520,"[0.16706109212025594, 0.17474920050817014, 0.15735261889108043, 0.1651114907784641, 0.16496471928825, 0.17843214583059464, 0.1687765561347409, 0.1536066652049989, 0.17490577614164257, 0.20342396777442096, 0.17457604837649535, 0.14964047702560504, 0.1610711781206171, 0.18029625734069593, 0.1843893882920412, 0.17086638327709364, 0.1612776025236593, 0.17068791872837938, 0.1879547646182169, 0.15721615576897777]"
53,530,"[0.1504516129032258, 0.18651936551605555, 0.17857757137942895, 0.16372232967977648, 0.1694550772009806, 0.1751021285745001, 0.17138189010233038, 0.16394358930260555, 0.17137573646411217, 0.20350062357545262, 0.1675196765730506, 0.18033632962023138, 0.17142857142857143, 0.17344919556052654, 0.15258609570488843, 0.1615566544829069, 0.14871662582226236, 0.15264516129032257, 0.1998366574965612, 0.15419335425353567]"
54,540,"[0.14956741928676937, 0.1647401282483969, 0.18482112723590954, 0.1700628612411931, 0.18111265764055845, 0.17365623154164206, 0.17925882154313694, 0.17390203771674473, 0.16413438001181735, 0.18492254442615338, 0.15900940809180272, 0.17208654941161583, 0.17007807554336357, 0.14926129168425495, 0.1810930576070901, 0.17197129590544533, 0.19569529436589997, 0.1719772103819371, 0.18455370331293522, 0.17203121704281796]"
55,550,"[0.19574133145532127, 0.16137982441610071, 0.15805168986083498, 0.17056703806486354, 0.17227238836881784, 0.19073083778966132, 0.15602719283700878, 0.17212231706306455, 0.194076222038111, 0.19429471763827846, 0.17223096677988567, 0.17968685278767293, 0.1780549455102971, 0.17057507457739476, 0.1740823597646864, 0.17614389920424403, 0.1706912976846291, 0.1905649436713055, 0.18314820954907163, 0.16846204839244283]"
56,560,"[0.16914188062009194, 0.1694653384834316, 0.19074744679985353, 0.15861648016276703, 0.1690610882747955, 0.2049800634713972, 0.15857381252798242, 0.19784421395159651, 0.18170354702245362, 0.1657173081617707, 0.1673992673992674, 0.16720257234726688, 0.19213085405053507, 0.19978028237783294, 0.1712576799446637, 0.17258222077499186, 0.17079721645708704, 0.17631975253368065, 0.1816184547784694, 0.1585886949090465]"
57,570,"[0.17684926029588166, 0.19054664693885712, 0.1697049652194771, 0.16632, 0.18744753148111135, 0.19088364654138346, 0.18742752029431758, 0.2118437362549482, 0.18917299240910906, 0.19760933877028863, 0.2063657083449958, 0.1890670612228576, 0.1836391987525489, 0.18372241765270228, 0.2029750479846449, 0.16807796772647388, 0.19041336851363236, 0.17532078186832953, 0.17133831820544604, 0.20639616230261842]"
