,X,collisions
38,38,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.026347305389221556, 0.0, 0.10532615200478755, 0.0, 0.02579484103179364, 0.0, 0.0, 0.0, 0.05225225225225225, 0.0, 0.0, 0.026394721055788842, 0.0, 0.02579484103179364, 0.025841346153846152]"
39,39,"[0.0, 0.025730994152046785, 0.0, 0.0, 0.05137186223000584, 0.0, 0.025730994152046785, 0.025821596244131457, 0.0, 0.0, 0.025730994152046785, 0.07647402218330414, 0.02576112412177986, 0.0, 0.0, 0.0, 0.02570093457943925, 0.025175644028103045, 0.0, 0.0]"
40,40,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07403189066059225, 0.02507122507122507, 0.0, 0.0, 0.0, 0.0, 0.02504268639726807]"
41,41,"[0.0, 0.0, 0.024526198439241916, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.047830923248053395, 0.0, 0.024444444444444446, 0.024498886414253896, 0.0, 0.04838709677419355, 0.024471635150166853, 0.0, 0.024444444444444446, 0.0, 0.02448525319977741]"
42,42,"[0.0, 0.04723127035830619, 0.04772234273318872, 0.023382272974442633, 0.023848238482384824, 0.02387411828540423, 0.04728260869565217, 0.0, 0.0, 0.023900054318305268, 0.023835319609967497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04730831973898858, 0.0, 0.0, 0.0]"
43,43,"[0.0, 0.0, 0.02278749337572867, 0.04665959703075292, 0.0, 0.02336696760488582, 0.023305084745762712, 0.0, 0.04627659574468085, 0.0, 0.023317435082140965, 0.0, 0.02335456475583864, 0.04668435013262599, 0.06995230524642289, 0.04663487016428193, 0.0, 0.02332979851537646, 0.0, 0.0]"
44,44,"[0.0, 0.0, 0.022302904564315353, 0.04559585492227979, 0.02280974598237429, 0.02286902286902287, 0.04503105590062112, 0.0, 0.022291342664593053, 0.022833419823559936, 0.04559585492227979, 0.0, 0.0, 0.0, 0.045548654244306416, 0.0683583635422061, 0.0, 0.0, 0.0, 0.022774327122153208]"
45,45,"[0.022289766970618033, 0.0, 0.0, 0.0218052738336714, 0.0, 0.021739130434782608, 0.0, 0.0, 0.0, 0.0, 0.022323693556570268, 0.044534412955465584, 0.022278481012658228, 0.0, 0.04411764705882353, 0.0, 0.0, 0.0, 0.0, 0.0]"
46,46,"[0.021792966815255076, 0.02177140029688273, 0.021825396825396824, 0.021792966815255076, 0.0, 0.0, 0.02183622828784119, 0.043069306930693066, 0.08676251859196826, 0.0, 0.0, 0.06501240694789082, 0.0, 0.04309063893016345, 0.0, 0.04367245657568238, 0.04356435643564356, 0.021371769383697812, 0.021847070506454815, 0.0]"
47,47,"[0.020853540252182348, 0.0, 0.04223300970873786, 0.04269771955361475, 0.04176784847013113, 0.02084343189529811, 0.0, 0.020965382740126767, 0.021348859776807377, 0.020863658418243572, 0.021307506053268765, 0.0, 0.0, 0.021379980563654033, 0.021369596891694997, 0.0, 0.02087378640776699, 0.0, 0.06386066763425254, 0.04227405247813411]"
48,48,"[0.02051526717557252, 0.0, 0.02043726235741445, 0.020902612826603325, 0.020922491678554447, 0.020417853751187084, 0.0, 0.0, 0.020892687559354226, 0.0, 0.0, 0.020398481973434534, 0.0, 0.020922491678554447, 0.04180522565320665, 0.0, 0.020456707897240724, 0.02091254752851711, 0.0, 0.0]"
49,49,"[0.04048394602140531, 0.0, 0.02054154995331466, 0.0, 0.040502793296089384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020484171322160148, 0.020465116279069766, 0.020465116279069766, 0.0, 0.020512820512820513, 0.02047463936714751, 0.0815090824406148, 0.02047463936714751, 0.04085422469823584, 0.020493712156497437]"
50,50,"[0.020045558086560365, 0.020082154267457783, 0.0, 0.020036429872495445, 0.020036429872495445, 0.0, 0.0, 0.019169329073482427, 0.03967168262653899, 0.020118884316415182, 0.020045558086560365, 0.019616788321167884, 0.02002730996813837, 0.019151846785225718, 0.05973552211582307, 0.04012767897856817, 0.020045558086560365, 0.020036429872495445, 0.040145985401459854, 0.0]"
51,51,"[0.019196428571428573, 0.01923937360178971, 0.0, 0.03849597135183527, 0.03935599284436494, 0.019704433497536946, 0.019213583556747096, 0.0392681838464971, 0.0, 0.019642857142857142, 0.01966041108132261, 0.039373601789709174, 0.03935599284436494, 0.0392681838464971, 0.0, 0.0, 0.0, 0.019222172552525705, 0.0, 0.0]"
52,52,"[0.03856266432953549, 0.038191395961369626, 0.03859649122807018, 0.019306713470820535, 0.03861342694164107, 0.03856266432953549, 0.09644892590968873, 0.018859649122807017, 0.01925601750547046, 0.0, 0.019247594050743656, 0.01925601750547046, 0.019306713470820535, 0.057430951337132836, 0.019272886552781428, 0.0, 0.019281332164767746, 0.0, 0.019306713470820535, 0.018851380973257344]"
53,53,"[0.0, 0.018502581755593803, 0.0, 0.0, 0.01847872797593468, 0.037800687285223365, 0.056823073611709, 0.0, 0.0, 0.018957345971563982, 0.0, 0.0378494623655914, 0.018916595012897677, 0.018908465835840136, 0.018916595012897677, 0.0, 0.07566638005159071, 0.018941024537236333, 0.018908465835840136, 0.0]"
54,54,"[0.018557570645297342, 0.03630223723089911, 0.07383966244725738, 0.01818181818181818, 0.018143459915611813, 0.018166455428812844, 0.03706823925863521, 0.018151118615449557, 0.018534119629317607, 0.0, 0.018573237653018153, 0.05569620253164557, 0.05571971295905445, 0.0, 0.018596787827557058, 0.018135807676086038, 0.036739864864864864, 0.0, 0.01854974704890388, 0.018573237653018153]"
55,55,"[0.0, 0.0, 0.0, 0.0, 0.036393713813068655, 0.0, 0.0, 0.0, 0.05470368835474513, 0.03605470368835474, 0.018249688925756947, 0.018249688925756947, 0.018249688925756947, 0.036069651741293535, 0.03574397339983375, 0.0, 0.01782752902155887, 0.018219461697722567, 0.0, 0.018211920529801324]"
56,56,"[0.07128309572301425, 0.01790801790801791, 0.0, 0.01788617886178862, 0.017915309446254073, 0.0, 0.03581603581603582, 0.017493897477624084, 0.0, 0.017529555646147575, 0.017959183673469388, 0.0, 0.0, 0.03581603581603582, 0.0, 0.01790073230268511, 0.035423452768729644, 0.0, 0.0, 0.01790801790801791]"
57,57,"[0.0, 0.0351859256297481, 0.017607042817126852, 0.0, 0.017179384738314023, 0.01718625099920064, 0.052736715940870954, 0.01759296281487405, 0.017607042817126852, 0.017585931254996003, 0.0, 0.0348, 0.0351859256297481, 0.0351859256297481, 0.01759296281487405, 0.017234468937875752, 0.0, 0.0, 0.06965572457966374, 0.035171862509992005]"
58,58,"[0.03455045151158225, 0.051846032992930086, 0.016889238020424194, 0.05180533751962323, 0.01730239874164373, 0.017275225755791126, 0.0, 0.03459119496855346, 0.0, 0.01728201099764336, 0.01690251572327044, 0.01730920535011802, 0.03453689167974882, 0.016935801496652227, 0.05147347740667976, 0.0, 0.01730920535011802, 0.05108055009823183, 0.016895874263261296, 0.0]"
59,59,"[0.016994978756276556, 0.016981860285604014, 0.0, 0.01660872923908845, 0.03359073359073359, 0.016653756777691712, 0.017027863777089782, 0.0, 0.03392444101773323, 0.016994978756276556, 0.016634429400386848, 0.017041053446940357, 0.016994978756276556, 0.03398995751255311, 0.016975308641975308, 0.017001545595054096, 0.016962220508866616, 0.0, 0.01662156938538848, 0.016602316602316602]"
60,60,"[0.0, 0.0, 0.05017103762827822, 0.016704631738800303, 0.05013292821876187, 0.016717325227963525, 0.01669195751138088, 0.0, 0.016324981017463932, 0.0, 0.016723679209426075, 0.01669829222011385, 0.032712057816660325, 0.03344735841885215, 0.016717325227963525, 0.0, 0.049410870391486124, 0.016685627607129314, 0.03349828701941378, 0.0]"
61,61,"[0.0, 0.016454749439042633, 0.016424038820455393, 0.0, 0.0, 0.016062756817332834, 0.016430171769977596, 0.0, 0.0, 0.016417910447761194, 0.04930892790437057, 0.032848077640910786, 0.03252336448598131, 0.0, 0.03292181069958848, 0.01646090534979424, 0.03286034353995519, 0.0, 0.016062756817332834, 0.016074766355140185]"
62,62,"[0.015832106038291605, 0.03241252302025783, 0.06406480117820323, 0.016152716593245228, 0.016164584864070537, 0.0, 0.031985294117647056, 0.016188373804267846, 0.04812637766348273, 0.03237674760853569, 0.016218208625138224, 0.01582627898417372, 0.016182420007355647, 0.04854726002206693, 0.0, 0.032305433186490456, 0.032305433186490456, 0.016218208625138224, 0.016140865737344093, 0.016188373804267846]"
63,63,"[0.031487513572204126, 0.01590169859053126, 0.0, 0.03146473779385172, 0.0, 0.0, 0.0, 0.015924719507781397, 0.015568428674873281, 0.015930485155684286, 0.015930485155684286, 0.04779145546705286, 0.031849439015562794, 0.06360679436212505, 0.01593625498007968, 0.0, 0.015907447577729574, 0.0, 0.04736080983369487, 0.015924719507781397]"
64,64,"[0.031283327408460716, 0.031004989308624376, 0.0, 0.031350195938724616, 0.03097187611249555, 0.015675097969362308, 0.015663937344250624, 0.015680684248039915, 0.0, 0.015652792600498042, 0.0, 0.015675097969362308, 0.047092400998929716, 0.015641663704230358, 0.01566951566951567, 0.047042052744119746, 0.06274509803921569, 0.03133903133903134, 0.031294452347083924, 0.015658362989323844]"
65,65,"[0.015406162464985995, 0.030833917309039945, 0.015476609215617306, 0.015460295151089248, 0.015422362425517, 0.015427769985974754, 0.06177606177606178, 0.046267087276550996, 0.015406162464985995, 0.0, 0.030537030537030538, 0.015071854188573432, 0.04633204633204633, 0.0, 0.015433181339880744, 0.046267087276550996, 0.030494216614090432, 0.0, 0.030186030186030187, 0.030844724851034]"
66,66,"[0.030397236614853194, 0.03038674033149171, 0.04558011049723757, 0.015193370165745856, 0.015209125475285171, 0.01520387007601935, 0.02968588194684156, 0.015198618307426597, 0.0, 0.015188125647221263, 0.015177647464642981, 0.03038674033149171, 0.0, 0.045219192267863306, 0.0, 0.0304077401520387, 0.045266067726330336, 0.04520358868184955, 0.04553294239392894, 0.01518288474810214]"
67,67,"[0.014635806671204902, 0.02959183673469388, 0.0, 0.029921795307718463, 0.029901461094121645, 0.014960897653859231, 0.0, 0.029931972789115645, 0.014960897653859231, 0.01497107859816264, 0.02994215719632528, 0.015311330384484519, 0.01497107859816264, 0.014945652173913044, 0.014976174268209666, 0.014625850340136054, 0.04491323579448792, 0.0, 0.029551630434782608, 0.014965986394557823]"
68,68,"[0.01442468970144247, 0.01476510067114094, 0.02914572864321608, 0.0, 0.02950050284948039, 0.014750251424740195, 0.01442468970144247, 0.014760147601476014, 0.044221105527638194, 0.043594902749832326, 0.014755197853789403, 0.014745308310991957, 0.04426559356136821, 0.0, 0.014725568942436412, 0.014448924731182795, 0.0, 0.029175050301810865, 0.014755197853789403, 0.05797587131367292]"
69,69,"[0.0287603305785124, 0.014516661167931376, 0.014511873350923483, 0.05818181818181818, 0.01456953642384106, 0.0, 0.0291005291005291, 0.043262879788639366, 0.014526246285902938, 0.028108465608465607, 0.02909090909090909, 0.02911978821972204, 0.02906208718626156, 0.029023746701846966, 0.0, 0.029023746701846966, 0.058085808580858087, 0.014521452145214522, 0.02911978821972204, 0.0]"
70,70,"[0.014015645371577574, 0.0, 0.028655161185281667, 0.02867383512544803, 0.014332247557003257, 0.0, 0.028311096648226487, 0.0, 0.028655161185281667, 0.0, 0.014322916666666666, 0.02867383512544803, 0.01401107852720756, 0.014336917562724014, 0.014341590612777053, 0.028683181225554105, 0.04261548471047495, 0.0, 0.014322916666666666, 0.0]"
71,71,"[0.0, 0.05614372794353545, 0.0, 0.0420410783055199, 0.014116137311517485, 0.04202759063201797, 0.014157014157014158, 0.0, 0.014161570646926296, 0.028277634961439587, 0.013813042081593318, 0.027992277992277992, 0.014138817480719794, 0.027965284474445518, 0.0, 0.0, 0.014125200642054575, 0.08443017656500802, 0.04201411161000641, 0.0]"
72,72,"[0.0, 0.013603290098070231, 0.027566539923954372, 0.041416376857413846, 0.055643376541258296, 0.041732532405943726, 0.027839291363492565, 0.027839291363492565, 0.027848101265822784, 0.013924050632911392, 0.04178537511870845, 0.013910844135314574, 0.01360759493670886, 0.027566539923954372, 0.013919645681746282, 0.027540360873694207, 0.06962025316455696, 0.0, 0.04179860671310956, 0.0]"
73,73,"[0.027439975054568133, 0.04118564742589704, 0.027491408934707903, 0.013737121448641898, 0.04084814468350483, 0.01376290272130122, 0.013754298218193186, 0.01371571072319202, 0.0275, 0.013741411617738912, 0.0, 0.0271875, 0.013719987527284067, 0.0275, 0.013728549141965678, 0.01373283395755306, 0.013412351840299439, 0.04128870816390366, 0.027491408934707903, 0.02744853399875234]"
74,74,"[0.02711864406779661, 0.01324299353249153, 0.04065291037881121, 0.027127003699136867, 0.02707692307692308, 0.040332512315270935, 0.026785714285714284, 0.02706027060270603, 0.0, 0.02707692307692308, 0.06728395061728396, 0.0403573629081947, 0.0, 0.0, 0.02708525700215451, 0.06691335183472094, 0.0, 0.04067796610169491, 0.02651048088779285, 0.013550970126270403]"
75,75,"[0.03981762917933131, 0.05256760862959587, 0.026427703523693804, 0.026772132643748097, 0.013077858880778588, 0.026443768996960486, 0.026731470230862697, 0.0, 0.03989037758830694, 0.0, 0.01338199513381995, 0.0, 0.013398294762484775, 0.040097205346294046, 0.0, 0.06650470695414516, 0.0, 0.0, 0.013369796414463689, 0.026747720364741642]"
