,X,collisions
57,57,"[0.0, 0.01755926251097454, 0.01755926251097454, 0.03511852502194908, 0.0, 0.01755926251097454, 0.01755926251097454, 0.0, 0.01755926251097454, 0.0, 0.0, 0.03511852502194908, 0.0, 0.0, 0.01755926251097454, 0.03511852502194908, 0.01755926251097454, 0.0, 0.01755926251097454, 0.0]"
58,58,"[0.0, 0.0, 0.0, 0.0, 0.03451251078515962, 0.0, 0.03451251078515962, 0.01725625539257981, 0.0, 0.0, 0.01725625539257981, 0.03451251078515962, 0.01725625539257981, 0.0, 0.06902502157031924, 0.01725625539257981, 0.01725625539257981, 0.05176876617773943, 0.0, 0.0]"
59,59,"[0.033927056827820185, 0.016963528413910092, 0.0, 0.0, 0.016963528413910092, 0.06785411365564037, 0.016963528413910092, 0.0, 0.0, 0.033927056827820185, 0.0, 0.016963528413910092, 0.016963528413910092, 0.0, 0.033927056827820185, 0.0, 0.016963528413910092, 0.033927056827820185, 0.033927056827820185, 0.0]"
60,60,"[0.016680567139282735, 0.0, 0.0, 0.03336113427856547, 0.0, 0.016680567139282735, 0.0, 0.0, 0.016680567139282735, 0.05004170141784821, 0.016680567139282735, 0.05004170141784821, 0.0, 0.03336113427856547, 0.016680567139282735, 0.016680567139282735, 0.0, 0.0, 0.06672226855713094, 0.06672226855713094]"
61,61,"[0.04922067268252666, 0.016406890894175553, 0.016406890894175553, 0.016406890894175553, 0.03281378178835111, 0.0, 0.016406890894175553, 0.04922067268252666, 0.016406890894175553, 0.03281378178835111, 0.016406890894175553, 0.03281378178835111, 0.016406890894175553, 0.03281378178835111, 0.016406890894175553, 0.0, 0.0, 0.0, 0.016406890894175553, 0.016406890894175553]"
62,62,"[0.03228410008071025, 0.0, 0.048426150121065374, 0.016142050040355124, 0.016142050040355124, 0.0, 0.03228410008071025, 0.016142050040355124, 0.016142050040355124, 0.03228410008071025, 0.016142050040355124, 0.048426150121065374, 0.016142050040355124, 0.0, 0.03228410008071025, 0.0, 0.03228410008071025, 0.016142050040355124, 0.0, 0.0]"
63,63,"[0.03177124702144559, 0.015885623510722795, 0.015885623510722795, 0.0, 0.015885623510722795, 0.015885623510722795, 0.015885623510722795, 0.0, 0.015885623510722795, 0.015885623510722795, 0.03177124702144559, 0.0, 0.04765687053216839, 0.0, 0.0, 0.0, 0.015885623510722795, 0.015885623510722795, 0.03177124702144559, 0.03177124702144559]"
64,64,"[0.0, 0.03127443315089914, 0.04691164972634871, 0.0, 0.01563721657544957, 0.04691164972634871, 0.01563721657544957, 0.03127443315089914, 0.01563721657544957, 0.04691164972634871, 0.01563721657544957, 0.01563721657544957, 0.01563721657544957, 0.03127443315089914, 0.01563721657544957, 0.04691164972634871, 0.01563721657544957, 0.01563721657544957, 0.06254886630179828, 0.01563721657544957]"
65,65,"[0.015396458814472672, 0.0, 0.0, 0.015396458814472672, 0.015396458814472672, 0.015396458814472672, 0.030792917628945343, 0.0, 0.0, 0.030792917628945343, 0.0, 0.030792917628945343, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015396458814472672, 0.015396458814472672]"
66,66,"[0.030326004548900682, 0.0, 0.015163002274450341, 0.045489006823351025, 0.030326004548900682, 0.030326004548900682, 0.030326004548900682, 0.045489006823351025, 0.0, 0.015163002274450341, 0.0, 0.0, 0.030303030303030304, 0.045489006823351025, 0.015163002274450341, 0.0, 0.015163002274450341, 0.015163002274450341, 0.0, 0.030326004548900682]"
