,X,collisions
28,280,"[0.07858546168958742, 0.10358992677263797, 0.07858546168958742, 0.07501339524915164, 0.07501339524915164, 0.07858546168958742, 0.05358099660653688, 0.06786926236828004, 0.06786926236828004, 0.07501339524915164, 0.0928737274513306, 0.0928737274513306, 0.07501339524915164, 0.05358099660653688, 0.0428647972852295, 0.07144132880871584, 0.05715306304697267, 0.085729594570459, 0.05714285714285714, 0.06429719592784426]"
29,290,"[0.09311950336264874, 0.0862217623728229, 0.07587515088808415, 0.08277289187790998, 0.07242628039317124, 0.11036385583721331, 0.09311950336264874, 0.08277289187790998, 0.07932402138299707, 0.06552853940334541, 0.06552853940334541, 0.1069149853423004, 0.04828418692878082, 0.07932402138299707, 0.062079668908432487, 0.10346611484738748, 0.055181927918606655, 0.07932402138299707, 0.10346611484738748, 0.08275862068965517]"
30,300,"[0.07001166861143523, 0.07667944657442907, 0.07001166861143523, 0.06667777962993832, 0.09001500250041673, 0.08001333555592599, 0.07334555759293215, 0.06667777962993832, 0.07334555759293215, 0.08668111351891981, 0.09668278046341057, 0.08001333555592599, 0.07334555759293215, 0.08668111351891981, 0.08333333333333333, 0.09334889148191365, 0.07001166861143523, 0.09333333333333334, 0.08001333555592599, 0.09334889148191365]"
31,310,"[0.07741935483870968, 0.08711082432650427, 0.06775286336505888, 0.0935634779803194, 0.09678980480722697, 0.11612903225806452, 0.06775286336505888, 0.06775286336505888, 0.1032424584610421, 0.06775286336505888, 0.06452653653815131, 0.05162122923052105, 0.06452653653815131, 0.0935634779803194, 0.07097919019196644, 0.07743184384578158, 0.054847556057428616, 0.06775286336505888, 0.1, 0.061300209711243746]"
32,320,"[0.0875136740115643, 0.09063916236912017, 0.109375, 0.08438818565400844, 0.09376465072667604, 0.0781372089388967, 0.06563525550867323, 0.0875136740115643, 0.07501172058134084, 0.07188623222378497, 0.07501172058134084, 0.075, 0.09689013908423191, 0.0687607438662291, 0.09376465072667604, 0.10626660415689952, 0.0875136740115643, 0.10314111579934365, 0.07188623222378497, 0.09063916236912017]"
33,330,"[0.09698439157448098, 0.09092286710107592, 0.07273829368086074, 0.09698439157448098, 0.07576905591756326, 0.06061524473405061, 0.08789210486437339, 0.09395362933777845, 0.08789210486437339, 0.07273829368086074, 0.054553720260645554, 0.08183058039096833, 0.06667676920745567, 0.10001515381118352, 0.08789210486437339, 0.06666666666666667, 0.12426125170480376, 0.0697075314441582, 0.09092286710107592, 0.08183058039096833]"
34,340,"[0.07648183556405354, 0.09118988086483307, 0.1147227533460803, 0.08529411764705883, 0.07059861744374173, 0.07648183556405354, 0.06765700838358582, 0.08236505368436535, 0.10001470804530078, 0.07354022650389763, 0.07354022650389763, 0.1088395352257685, 0.11176470588235295, 0.07059861744374173, 0.09118988086483307, 0.10295631710545669, 0.1058979261656126, 0.10295631710545669, 0.08235294117647059, 0.07354022650389763]"
35,350,"[0.0885840834404915, 0.06286612373196171, 0.10858694099157022, 0.12001714530647235, 0.13144734962137447, 0.08572653236176597, 0.11144449207029576, 0.10001428775539363, 0.10858694099157022, 0.06572367481068724, 0.06285714285714286, 0.10287183883411916, 0.10001428775539363, 0.09715673667666809, 0.08286898128304043, 0.09715673667666809, 0.09715673667666809, 0.0885840834404915, 0.10858694099157022, 0.09715673667666809]"
36,360,"[0.11112654535352132, 0.08612307264897902, 0.12779552715654952, 0.08612307264897902, 0.08612307264897902, 0.07778858174746492, 0.06389776357827476, 0.10557021808584525, 0.083344909015141, 0.09445756355049312, 0.0916793999166551, 0.1000138908181692, 0.10279205445200722, 0.08890123628281706, 0.10557021808584525, 0.0666759272121128, 0.11390470898735935, 0.07778858174746492, 0.1000138908181692, 0.08890123628281706]"
37,370,"[0.07838897148263278, 0.0892012434112718, 0.08379510744695229, 0.12163805919718881, 0.0946073793755913, 0.1270441951615083, 0.10271658332207055, 0.1000135153399108, 0.11081081081081082, 0.08649817542911205, 0.0892012434112718, 0.08648648648648649, 0.0946073793755913, 0.0972972972972973, 0.1000135153399108, 0.1108257872685498, 0.0918918918918919, 0.08109203946479254, 0.11352885525070956, 0.0891891891891892]"
38,380,"[0.08422160810632978, 0.11052631578947368, 0.08685353335965258, 0.11317278589288064, 0.08158968285300698, 0.09473684210526316, 0.07895775759968417, 0.09738123437294381, 0.07632583234636137, 0.0868421052631579, 0.10001315962626661, 0.08158968285300698, 0.12370048690617186, 0.09738123437294381, 0.10001315962626661, 0.09738123437294381, 0.10790893538623503, 0.0894854586129754, 0.0921173838662982, 0.1421239636794315]"
39,390,"[0.0846262341325811, 0.11027054750609053, 0.1153994101807924, 0.0846262341325811, 0.08975509680728298, 0.11283497884344147, 0.11027054750609053, 0.10770611616873958, 0.06411078343377356, 0.07180407744582638, 0.09488395948198487, 0.09231952814463393, 0.10001282215668675, 0.09488395948198487, 0.0846262341325811, 0.1153994101807924, 0.1153994101807924, 0.09488395948198487, 0.09231952814463393, 0.09488395948198487]"
40,400,"[0.105, 0.0925, 0.11251406425803226, 0.10251281410176272, 0.08501062632829104, 0.09751218902362796, 0.08001000125015627, 0.12751593949243656, 0.1025, 0.10251281410176272, 0.10251281410176272, 0.11501437679709964, 0.11751468933616702, 0.11001375171896487, 0.11001375171896487, 0.11001375171896487, 0.09251156394549319, 0.12001500187523441, 0.11001375171896487, 0.0775]"
41,410,"[0.06830101231857544, 0.11220880595194536, 0.14879863397975363, 0.10733016221490425, 0.12196609342602756, 0.09269423100378095, 0.1000121966093426, 0.1000121966093426, 0.08293694352969874, 0.12440541529454811, 0.08293694352969874, 0.09757287474082205, 0.08293694352969874, 0.11708744968898646, 0.11708744968898646, 0.1146481278204659, 0.1073170731707317, 0.12195121951219512, 0.1146481278204659, 0.13172338090010977]"
42,420,"[0.10715561376354328, 0.10239314204071913, 0.10952380952380952, 0.12620550065483988, 0.10001190617930707, 0.09763067031789499, 0.10001190617930707, 0.1047743779021312, 0.09763067031789499, 0.12144302893201572, 0.09286819859507084, 0.11904761904761904, 0.12144302893201572, 0.1142993213477795, 0.1047743779021312, 0.11668055720919157, 0.11668055720919157, 0.1333492082390761, 0.09048696273365876, 0.09763067031789499]"
43,430,"[0.11396674031864171, 0.10465116279069768, 0.11396674031864171, 0.12094429584835446, 0.12094429584835446, 0.09535992557274102, 0.1302477032213048, 0.11396674031864171, 0.09535992557274102, 0.13265899314033253, 0.12094429584835446, 0.12094429584835446, 0.11629259216187929, 0.08838237004302826, 0.11861844400511687, 0.12327014769159204, 0.10931503663216653, 0.11861844400511687, 0.12094429584835446, 0.0976857774159786]"
44,440,"[0.11136363636363636, 0.13183316285941585, 0.11592226389362427, 0.10010226110669242, 0.1000113649278327, 0.10910330719399931, 0.14092510512558246, 0.1341061484259575, 0.11819524946016592, 0.09319240822820775, 0.12274122059324924, 0.12046823502670757, 0.11818181818181818, 0.10454545454545454, 0.11137629276054097, 0.10910330719399931, 0.1318181818181818, 0.10910330719399931, 0.10455733606091601, 0.1250142061597909]"
45,450,"[0.10445605067229692, 0.12890321146794087, 0.11333333333333333, 0.10445605067229692, 0.10223358150905656, 0.15335037226358483, 0.13779308812090232, 0.1333481497944216, 0.10445605067229692, 0.12668074230470053, 0.111123458162018, 0.10001111234581621, 0.111123458162018, 0.10888888888888888, 0.11334592732525836, 0.10890098899877765, 0.14223802644738304, 0.11779086565173909, 0.10890098899877765, 0.1111111111111111]"
46,460,"[0.12610066311555604, 0.11957821502337211, 0.10435916947494293, 0.11957821502337211, 0.12175236438743342, 0.13044896184367866, 0.09566257201869768, 0.11740406565931079, 0.13479726057180128, 0.14347826086956522, 0.12827481247961736, 0.14131970866398522, 0.09783672138275899, 0.1369714099358626, 0.1391455592999239, 0.14566800739210783, 0.11740406565931079, 0.12175236438743342, 0.12610066311555604, 0.11088161756712686]"
47,470,"[0.125531914893617, 0.13405681455473986, 0.11916161293754655, 0.12554527077348654, 0.13829787234042554, 0.12341738482817322, 0.12980104266411321, 0.13192892860942654, 0.12980104266411321, 0.11702127659574468, 0.10851063829787234, 0.12128949888285988, 0.1276595744680851, 0.11490584104691988, 0.11490584104691988, 0.13618470050005319, 0.10639429726566656, 0.14895201617193318, 0.12341738482817322, 0.12341738482817322]"
