,index,all_backshifts,number_sensors_shifted
473,473,47.6,33.2
474,474,58.6,39.6
475,475,65.0,41.8
476,476,59.2,41.0
477,477,63.0,42.6
478,478,71.4,46.4
479,479,56.4,39.0
480,480,62.2,41.8
481,481,69.4,45.4
482,482,64.4,44.6
483,483,64.4,42.4
484,484,57.8,42.2
485,485,73.6,48.2
486,486,66.6,43.6
487,487,59.2,40.8
488,488,66.2,43.6
489,489,67.6,45.6
490,490,68.6,43.0
491,491,70.6,44.4
492,492,65.4,42.6
493,493,72.4,46.4
494,494,66.6,43.2
495,495,62.2,41.6
496,496,70.2,47.4
497,497,65.6,43.4
498,498,77.2,47.6
499,499,71.0,47.0
500,500,76.8,49.2
501,501,68.2,48.6
502,502,65.0,42.4
503,503,71.2,50.4
504,504,71.6,51.2
505,505,66.6,43.2
506,506,72.2,48.8
507,507,75.0,46.2
508,508,71.8,47.8
509,509,67.2,45.6
510,510,84.8,54.2
511,511,77.0,49.6
512,512,76.6,48.0
513,513,71.2,45.4
514,514,75.0,51.4
515,515,69.0,48.4
516,516,75.2,52.6
517,517,79.0,52.4
518,518,84.4,53.2
519,519,69.2,47.4
520,520,85.4,51.6
521,521,83.0,55.6
522,522,65.4,42.2
523,523,83.2,56.6
524,524,79.4,50.0
525,525,80.4,56.4
526,526,86.0,54.0
527,527,72.6,50.2
528,528,73.0,47.0
529,529,83.8,53.8
530,530,78.2,49.8
531,531,88.8,58.6
532,532,85.2,57.0
533,533,84.6,55.2
534,534,79.0,52.8
535,535,65.2,45.6
536,536,76.4,47.2
537,537,86.0,55.4
538,538,80.4,50.8
539,539,79.0,55.2
540,540,90.2,55.6
541,541,82.0,55.6
542,542,89.2,56.8
543,543,93.2,59.2
544,544,73.8,49.4
545,545,84.6,56.0
546,546,84.4,55.6
547,547,88.0,57.2
548,548,80.4,53.8
549,549,82.6,55.8
550,550,87.0,57.6
551,551,78.4,52.4
552,552,96.6,63.6
553,553,95.6,61.0
554,554,86.6,58.8
555,555,78.6,52.6
556,556,89.0,60.6
557,557,78.4,49.8
558,558,90.8,63.4
559,559,86.6,57.6
560,560,83.4,55.6
561,561,93.4,62.4
562,562,92.6,57.6
563,563,88.2,56.4
564,564,103.0,63.8
565,565,87.2,58.2
566,566,89.4,57.0
567,567,79.6,52.0
568,568,96.2,61.4
569,569,87.4,56.8
570,570,99.8,62.2
571,571,87.0,59.8
572,572,102.8,63.6
573,573,104.4,67.0
574,574,90.4,58.8
575,575,101.6,63.6
576,576,91.8,61.6
577,577,97.4,64.6
578,578,98.6,63.2
579,579,101.0,67.2
580,580,96.8,63.2
581,581,89.4,60.0
582,582,92.0,61.8
583,583,102.8,62.4
584,584,99.8,61.4
585,585,88.0,58.0
