,number_sensors,collision_probability,ticks,messages_per_colissionprobab
134,135,0.05037037037037037,0.037862862862862855,99.0
135,136,0.04779411764705882,0.0381081081081081,99.0
136,137,0.051824817518248176,0.038353353353353346,99.0
137,138,0.04565217391304348,0.03859859859859859,99.0
138,139,0.05251798561151079,0.03884384384384384,99.0
139,140,0.054285714285714284,0.039089089089089084,99.0
140,141,0.05106382978723405,0.03933433433433433,100.0
141,142,0.039436619718309855,0.039579579579579575,102.0
142,143,0.06503496503496504,0.03982482482482482,104.0
143,144,0.04652777777777778,0.04007007007007007,107.0
144,145,0.046206896551724136,0.04031531531531531,109.0
145,146,0.04589041095890411,0.04056056056056056,109.0
146,147,0.06326530612244899,0.0408058058058058,109.0
147,148,0.04256756756756756,0.04105105105105104,109.0
148,149,0.06442953020134227,0.04129629629629629,110.0
149,150,0.05466666666666666,0.041541541541541535,110.0
150,151,0.050331125827814564,0.04178678678678678,110.0
151,152,0.05460526315789474,0.04203203203203203,110.0
152,153,0.052941176470588235,0.04227727727727727,110.0
153,154,0.05519480519480519,0.04252252252252252,110.0
154,155,0.06709677419354838,0.042767767767767764,111.0
155,156,0.05641025641025642,0.04301301301301301,111.0
156,157,0.056687898089171976,0.043258258258258256,111.0
157,158,0.039873417721518985,0.0435035035035035,112.0
158,159,0.06415094339622641,0.04374874874874874,112.0
159,160,0.04625,0.043993993993993986,113.0
160,161,0.07329192546583851,0.04423923923923923,114.0
161,162,0.051234567901234575,0.04448448448448448,114.0
162,163,0.05276073619631902,0.044729729729729724,114.0
163,164,0.058536585365853655,0.04497497497497497,114.0
164,165,0.07090909090909091,0.045220220220220216,115.0
165,166,0.05240963855421686,0.04546546546546546,115.0
166,167,0.05269461077844312,0.04571071071071071,116.0
167,168,0.055952380952380955,0.04595595595595595,117.0
168,169,0.059763313609467454,0.0462012012012012,118.0
169,170,0.06647058823529413,0.04644644644644644,120.0
170,171,0.06608187134502924,0.046691691691691684,122.0
171,172,0.04941860465116279,0.04693693693693693,124.0
172,173,0.06473988439306358,0.047182182182182175,124.0
173,174,0.06609195402298851,0.04742742742742742,124.0
174,175,0.05714285714285714,0.04767267267267267,125.0
175,176,0.06818181818181818,0.04791791791791791,126.0
176,177,0.07344632768361582,0.04816316316316316,126.0
177,178,0.06179775280898876,0.048408408408408404,127.0
178,179,0.0670391061452514,0.04865365365365365,128.0
179,180,0.07111111111111111,0.048898898898898896,129.0
180,181,0.06353591160220995,0.04914414414414414,129.0
181,182,0.04945054945054945,0.04938938938938938,130.0
182,183,0.05245901639344262,0.049634634634634626,134.0
183,184,0.0766304347826087,0.04987987987987987,134.0
184,185,0.06864864864864864,0.05012512512512512,137.0
185,186,0.06666666666666667,0.050370370370370364,138.0
186,187,0.059893048128342244,0.05061561561561561,141.0
187,188,0.06914893617021277,0.050860860860860856,141.0
188,189,0.06402116402116402,0.0511061061061061,143.0
189,190,0.07210526315789473,0.05135135135135135,144.0
190,191,0.05968586387434555,0.05159659659659659,144.0
191,192,0.05885416666666667,0.05184184184184184,145.0
192,193,0.08186528497409327,0.052087087087087085,145.0
193,194,0.07268041237113401,0.052332332332332324,145.0
194,195,0.05846153846153846,0.05257757757757757,149.0
195,196,0.07653061224489796,0.052822822822822815,151.0
196,197,0.05736040609137056,0.05306806806806806,152.0
197,198,0.07020202020202021,0.05331331331331331,152.0
198,199,0.07939698492462312,0.05355855855855855,152.0
199,200,0.0605,0.0538038038038038,153.0
200,201,0.08159203980099501,0.054049049049049044,153.0
201,202,0.058910891089108915,0.05429429429429429,154.0
202,203,0.06798029556650247,0.054539539539539536,154.0
203,204,0.0642156862745098,0.05478478478478478,156.0
204,205,0.08146341463414634,0.05503003003003002,156.0
205,206,0.06407766990291262,0.05527527527527527,157.0
206,207,0.07004830917874397,0.05552052052052051,157.0
207,208,0.07307692307692307,0.05576576576576576,157.0
208,209,0.08373205741626795,0.056011011011011004,158.0
209,210,0.07571428571428572,0.05625625625625625,158.0
210,211,0.07819905213270142,0.056501501501501496,159.0
211,212,0.0759433962264151,0.05674674674674674,160.0
212,213,0.08544600938967135,0.05699199199199199,161.0
213,214,0.07616822429906542,0.05723723723723723,163.0
214,215,0.07069767441860465,0.05748248248248248,164.0
215,216,0.06157407407407408,0.057727727727727725,164.0
216,217,0.07096774193548387,0.057972972972972964,164.0
217,218,0.08256880733944955,0.05821821821821821,164.0
218,219,0.07671232876712329,0.058463463463463455,165.0
219,220,0.07045454545454545,0.0587087087087087,166.0
220,221,0.07647058823529411,0.05895395395395395,168.0
221,222,0.06756756756756757,0.05919919919919919,168.0
222,223,0.08071748878923767,0.05944444444444444,168.0
223,224,0.08526785714285715,0.059689689689689684,169.0
224,225,0.08622222222222221,0.05993493493493493,171.0
225,226,0.0827433628318584,0.060180180180180176,171.0
226,227,0.07224669603524228,0.06042542542542542,171.0
227,228,0.07456140350877193,0.06067067067067066,172.0
228,229,0.08034934497816593,0.06091591591591591,172.0
229,230,0.08391304347826087,0.06116116116116115,172.0
230,231,0.0696969696969697,0.0614064064064064,172.0
231,232,0.09181034482758621,0.061651651651651644,173.0
232,233,0.08111587982832617,0.06189689689689689,174.0
233,234,0.09358974358974359,0.062142142142142136,174.0
234,235,0.0902127659574468,0.06238738738738738,174.0
235,236,0.07457627118644068,0.06263263263263263,174.0
236,237,0.08059071729957806,0.06287787787787788,174.0
237,238,0.07983193277310924,0.06312312312312313,174.0
238,239,0.07489539748953974,0.06336836836836837,175.0
239,240,0.09708333333333334,0.0636136136136136,176.0
240,241,0.06846473029045644,0.06385885885885885,176.0
241,242,0.07479338842975207,0.0641041041041041,178.0
242,243,0.07407407407407407,0.06434934934934934,180.0
243,244,0.10163934426229508,0.06459459459459459,181.0
244,245,0.09877551020408162,0.06483983983983983,183.0
245,246,0.0975609756097561,0.06508508508508508,184.0
246,247,0.08380566801619432,0.06533033033033032,184.0
247,248,0.08669354838709678,0.06557557557557557,184.0
248,249,0.07429718875502007,0.06582082082082082,184.0
249,250,0.0916,0.06606606606606606,184.0
250,251,0.09123505976095617,0.06631131131131131,186.0
251,252,0.08571428571428572,0.06655655655655655,187.0
252,253,0.08814229249011858,0.0668018018018018,188.0
253,254,0.08622047244094487,0.06704704704704705,189.0
254,255,0.07529411764705882,0.06729229229229229,190.0
255,256,0.093359375,0.06753753753753754,190.0
256,257,0.07821011673151751,0.06778278278278278,191.0
257,258,0.08255813953488372,0.06802802802802803,192.0
258,259,0.08725868725868727,0.06827327327327327,193.0
259,260,0.08538461538461538,0.06851851851851852,194.0
260,261,0.09233716475095786,0.06876376376376377,195.0
261,262,0.08931297709923663,0.06900900900900901,195.0
262,263,0.09467680608365019,0.06925425425425426,196.0
263,264,0.09318181818181819,0.0694994994994995,196.0
264,265,0.09547169811320755,0.06974474474474475,197.0
265,266,0.09398496240601503,0.06998998998999,197.0
266,267,0.0895131086142322,0.07023523523523524,199.0
267,268,0.09365671641791046,0.07048048048048049,200.0
268,269,0.10297397769516728,0.07072572572572572,201.0
269,270,0.07851851851851852,0.07097097097097096,203.0
270,271,0.085239852398524,0.07121621621621621,204.0
271,272,0.09999999999999999,0.07146146146146146,204.0
272,273,0.0989010989010989,0.0717067067067067,204.0
273,274,0.09087591240875911,0.07195195195195195,204.0
274,275,0.07927272727272727,0.0721971971971972,205.0
275,276,0.09782608695652174,0.07244244244244244,206.0
276,277,0.10866425992779784,0.07268768768768769,207.0
