,number_sensors,collision_probability,ticks,messages_per_colissionprobab
58,59,0.02372881355932203,0.016414276184122747,42.0
59,60,0.03333333333333333,0.016611074049366244,42.0
60,61,0.013114754098360656,0.01680787191460974,43.0
61,62,0.025806451612903226,0.017004669779853234,43.0
62,63,0.025396825396825397,0.01720146764509673,43.0
63,64,0.025,0.017398265510340228,43.0
64,65,0.012307692307692308,0.01759506337558372,44.0
65,66,0.03181818181818182,0.01779186124082722,44.0
66,67,0.05373134328358209,0.017988659106070715,44.0
67,68,0.020588235294117647,0.01818545697131421,45.0
68,69,0.014492753623188406,0.018382254836557706,45.0
69,70,0.04285714285714286,0.0185790527018012,46.0
70,71,0.028169014084507043,0.018775850567044696,46.0
71,72,0.03333333333333333,0.018972648432288193,46.0
72,73,0.0273972602739726,0.019169446297531686,47.0
73,74,0.024324324324324326,0.019366244162775183,47.0
74,75,0.032,0.01956304202801868,47.0
75,76,0.05263157894736842,0.019759839893262174,47.0
76,77,0.049350649350649346,0.01995663775850567,47.0
77,78,0.020512820512820513,0.020153435623749164,48.0
78,79,0.04177215189873418,0.02035023348899266,48.0
79,80,0.034999999999999996,0.020547031354236158,50.0
80,81,0.0345679012345679,0.020743829219479655,51.0
81,82,0.06341463414634146,0.02094062708472315,51.0
82,83,0.05060240963855422,0.021137424949966645,52.0
83,84,0.027380952380952377,0.021334222815210142,52.0
84,85,0.023529411764705882,0.021531020680453636,52.0
85,86,0.03488372093023256,0.021727818545697133,52.0
86,87,0.025287356321839084,0.021924616410940626,52.0
87,88,0.020454545454545454,0.022121414276184123,52.0
88,89,0.04157303370786517,0.02231821214142762,53.0
89,90,0.030000000000000002,0.022515010006671114,53.0
90,91,0.04395604395604396,0.02271180787191461,54.0
91,92,0.03804347826086957,0.022908605737158107,54.0
92,93,0.04193548387096774,0.0231054036024016,54.0
93,94,0.02553191489361702,0.023302201467645098,54.0
94,95,0.04842105263157894,0.02349899933288859,54.0
95,96,0.027083333333333334,0.023695797198132088,56.0
96,97,0.04329896907216495,0.023892595063375585,57.0
97,98,0.027551020408163266,0.02408939292861908,57.0
98,99,0.048484848484848485,0.024286190793862576,57.0
99,100,0.049,0.024482988659106072,58.0
100,101,0.031683168316831684,0.024679786524349566,59.0
101,102,0.05294117647058824,0.024876584389593063,59.0
102,103,0.04854368932038835,0.02507338225483656,61.0
103,104,0.04807692307692308,0.025270180120080053,61.0
104,105,0.026666666666666665,0.02546697798532355,63.0
105,106,0.04339622641509434,0.025663775850567044,64.0
106,107,0.04672897196261682,0.02586057371581054,65.0
107,108,0.05555555555555555,0.026057371581054038,65.0
108,109,0.037614678899082564,0.02625416944629753,66.0
109,110,0.05363636363636364,0.026450967311541028,66.0
110,111,0.04144144144144144,0.026647765176784525,66.0
111,112,0.049999999999999996,0.02684456304202802,67.0
112,113,0.04424778761061947,0.027041360907271515,67.0
113,114,0.062280701754385964,0.027238158772515012,68.0
114,115,0.04695652173913044,0.027434956637758506,71.0
115,116,0.061206896551724135,0.027631754503002003,73.0
116,117,0.05042735042735043,0.027828552368245496,73.0
117,118,0.039830508474576275,0.028025350233488993,73.0
118,119,0.047058823529411764,0.02822214809873249,74.0
119,120,0.06083333333333333,0.028418945963975983,74.0
120,121,0.0512396694214876,0.02861574382921948,75.0
121,122,0.042622950819672135,0.028812541694462977,75.0
122,123,0.03577235772357724,0.02900933955970647,75.0
123,124,0.05,0.029206137424949968,75.0
124,125,0.0608,0.02940293529019346,75.0
125,126,0.05873015873015873,0.029599733155436958,75.0
126,127,0.04488188976377953,0.029796531020680455,75.0
127,128,0.04140625,0.02999332888592395,75.0
128,129,0.05116279069767442,0.030190126751167445,76.0
129,130,0.05,0.030386924616410942,76.0
130,131,0.04580152671755725,0.030583722481654436,76.0
131,132,0.05909090909090909,0.030780520346897933,76.0
132,133,0.05112781954887218,0.03097731821214143,76.0
133,134,0.04477611940298507,0.031174116077384923,78.0
134,135,0.04740740740740741,0.03137091394262842,78.0
135,136,0.04191176470588236,0.031567711807871913,78.0
136,137,0.05547445255474452,0.03176450967311541,79.0
137,138,0.05579710144927536,0.03196130753835891,81.0
138,139,0.04748201438848921,0.0321581054036024,82.0
139,140,0.054285714285714284,0.032354903268845894,82.0
140,141,0.05177304964539007,0.032551701134089395,82.0
141,142,0.04295774647887324,0.03274849899933289,82.0
142,143,0.06013986013986014,0.03294529686457638,82.0
